qualifiedName,storeType,type
com.hypixel.hytale.server.core.modules.entity.player.PlayerSkinComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.tracker.NetworkId,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.DespawnComponent,Entity,Default,

com.hypixel.hytale.server.core.modules.entity.component.ActiveAnimationComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.AudioComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.BoundingBox,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.DisplayNameComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.DynamicLight,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.EntityScaleComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.FromPrefab,Entity,Flag,
com.hypixel.hytale.server.core.modules.entity.component.FromWorldGen,Entity,Flag,
com.hypixel.hytale.server.core.modules.entity.component.HeadRotation,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.HiddenFromAdventurePlayers,Entity,Flag,
com.hypixel.hytale.server.core.modules.entity.component.Intangible,Entity,Flag,
com.hypixel.hytale.server.core.modules.entity.component.Invulnerable,Entity,Flag,
com.hypixel.hytale.server.core.modules.entity.component.ModelComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.MovementAudioComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.NewSpawnComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.PersistentDynamicLight,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.PersistentModel,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.PositionDataComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.PropComponent,Entity,Flag,
com.hypixel.hytale.server.core.modules.entity.component.RespondToHit,Entity,Flag,
com.hypixel.hytale.server.core.modules.entity.component.RotateObjectComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.SnapshotBuffer,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.TransformComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.component.WorldGenId,Entity,Default,

com.hypixel.hytale.server.core.entity.Frozen,Entity,Flag,
com.hypixel.hytale.server.core.entity.UUIDComponent,Entity,Default,Uuid
com.hypixel.hytale.server.core.entity.knockback.KnockbackComponent,Entity,Default,
com.hypixel.hytale.server.core.entity.nameplate.Nameplate,Entity,Default,
com.hypixel.hytale.server.core.entity.group.EntityGroup,Entity,Default,

com.hypixel.hytale.server.core.modules.physics.component.PhysicsValues,Entity,Default,
com.hypixel.hytale.server.core.modules.physics.component.Velocity,Entity,Default,

com.hypixel.hytale.server.core.modules.entity.damage.DeathComponent,Entity,Default,

com.hypixel.hytale.server.core.modules.entity.item.ItemComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.item.PickupItemComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.item.PreventItemMerging,Entity,Flag,
com.hypixel.hytale.server.core.modules.entity.item.PreventPickup,Entity,Flag,

com.hypixel.hytale.server.core.modules.entity.repulsion.Repulsion,Entity,Default,
com.hypixel.hytale.server.core.modules.entity.teleport.Teleport,Entity,Default,
com.hypixel.hytale.server.core.modules.entitystats.EntityStatMap,Entity,Default,EntityStats


com.hypixel.hytale.server.core.modules.projectile.component.PredictedProjectile,Entity,Default,
com.hypixel.hytale.server.core.entity.entities.ProjectileComponent,Entity,Default,
com.hypixel.hytale.server.core.modules.projectile.component.Projectile,Entity,Flag,ProjectileMarker
com.hypixel.hytale.server.core.modules.projectile.config.StandardPhysicsProvider,Entity,Default,StandardPhysics
